Part No,Category,SMC LP,CUBIX LP,Description
C96SDB125-250,,13425,13894.88,
D-A73L,,990,1024.65,
VF54110-5DZ-04F,,8030,8311.05,
EX600-DXPF,,11435,11835.23,
ISE20C-X-M-02L-W-K,,12510,12947.85,
ZSE20C-X-02L-W-K,,12510,12947.85,
AC20-02C-B,,3870,4005.45,
SY7120-5GD-02,,2430,2515.05,
MGPL20-40Z-M9BL,,10745,11121.08,
VQ2100-51,,3665,3793.28,
VQ2300-51,,5260,5444.1,
VVQ2000-10A-1,,310,320.85,
CDG1BA40-200Z,,5395,5583.83,
MDBB32-250Z,,2695,2789.33,
JA15-5-080,,490,507.15,
JA63-18-150,,2140,2214.9,
CDJ2B10-125Z-B,,1225,1267.88,
